Source,Target,Weight,Type
Notre Dame, USC,4,Directed
Ohio,Bowling Green,4,Directed
Ohio,Toledo,4,Directed
Oklahoma State,Baylor,4,Directed
Ole Miss, Alabama,4,Directed
Oregon,Oregon State,4,Directed
Oregon State, Stanford,4,Directed
Penn State,Wisconsin,4,Directed
Pittsburgh,Syracuse,4,Directed
Portland State,Oregon State,4,Directed
Purdue,Michigan State,4,Directed
Purdue,Penn State,4,Directed
Rice,Louisiana Tech,4,Directed
Rice,SMU,4,Directed
Rutgers, West Virginia,4,Directed
Rutgers,Michigan State,4,Directed
San Diego State,Colorado State,4,Directed
San Jose State,Louisiana Tech,4,Directed
San Jose State,San Diego State,4,Directed
SMU,Baylor,4,Directed
SMU,Hawaii,4,Directed
SMU,Texas A&M,4,Directed
SMU,UCF,4,Directed
South Alabama,Georgia State,4,Directed
South Alabama,Louisiana,4,Directed
South Carolina State,Clemson,4,Directed
Southern Miss,Alabama,4,Directed
Southern Miss,East Carolina,4,Directed
Southern Miss,UAB,4,Directed
Stanford,California,4,Directed
Stanford,Oregon State,4,Directed
Syracuse,Florida State,4,Directed
Syracuse,NC State,4,Directed
Texas A&M, Oklahoma,4,Directed
Texas Tech,Iowa State,4,Directed
Texas Tech,Kansas State,4,Directed
The Citadel,Clemson,4,Directed
Tulane,SMU,4,Directed
Tulane,Southern Miss,4,Directed
Tulane,UCF,4,Directed
Tulsa,UTEP,4,Directed
UAB,Southern Miss,4,Directed
UAB,UCF,4,Directed
UCLA, Oregon,4,Directed
UCLA,Arizona,4,Directed
UCLA,Colorado,4,Directed
UCLA,Washington,4,Directed
UNLV,Nevada,4,Directed
USC,Notre Dame,4,Directed
Utah State,Nevada,4,Directed
UTEP,Boise State,4,Directed
UTEP,Rice,4,Directed
UTEP,SMU,4,Directed
UTSA,Louisiana Tech,4,Directed
Vanderbilt,Ole Miss,4,Directed
Virginia,Boston College,4,Directed
Virginia,NC State,4,Directed
Wake Forest,Boston College,4,Directed
Wake Forest,Georgia Tech,4,Directed
Washington,USC,4,Directed
Washington State,California,4,Directed
Washington State,USC,4,Directed
Western Carolina,Alabama,4,Directed
Western Kentucky,FIU,4,Directed
Western Kentucky,Middle Tennessee,4,Directed
Western Kentucky,Troy,4,Directed
 (FCS) Northern Iowa,Iowa State,3,Directed
 Auburn,Arkansas,3,Directed
 California,UCLA,3,Directed
 Clemson,Florida State,3,Directed
 Florida,Florida State,3,Directed
 Georgia Tech,Virginia,3,Directed
 Michigan,Notre Dame,3,Directed
 Michigan,Wisconsin,3,Directed
 Mississippi State,Ole Miss,3,Directed
 Oregon,Arizona,3,Directed
 South Carolina,Arkansas,3,Directed
 Stanford,Notre Dame,3,Directed
 Stanford,Washington,3,Directed
 TCU,Oklahoma,3,Directed
 Texas A&M,Alabama,3,Directed
 Texas Tech,Oklahoma,3,Directed
 UCLA,USC,3,Directed
 USC,UCLA,3,Directed
 Wisconsin,Michigan State,3,Directed
 Wisconsin,Northwestern,3,Directed
Air Force,Boise State,3,Directed
Akron,Northern Illinois,3,Directed
Akron,Toledo,3,Directed
Akron,UCF,3,Directed
Akron,Wisconsin,3,Directed
Alabama,Arkansas,3,Directed
Albany,UMass,3,Directed
Arizona, Oregon State,3,Directed
Arizona, USC,3,Directed
Arizona,California,3,Directed
Arizona,Stanford,3,Directed
Arizona State,California,3,Directed
Arkansas State,Nebraska,3,Directed
Army,Rutgers,3,Directed
Auburn,Alabama,3,Directed
Ball State,Eastern Michigan,3,Directed
Ball State,Ohio,3,Directed
Ball State,Western Michigan,3,Directed
Baylor,TCU,3,Directed
Baylor,Texas Tech,3,Directed
Boise State,San Diego State,3,Directed
Boston College, Clemson,3,Directed
Boston College, Florida State,3,Directed
Boston College, Virginia Tech,3,Directed
Boston College,Virginia Tech,3,Directed
Boston College,West Virginia,3,Directed
Bowling Green,Northern Illinois,3,Directed
Buffalo,Akron,3,Directed
Buffalo,Baylor,3,Directed
Buffalo,Nevada,3,Directed
Buffalo,Western Michigan,3,Directed
BYU,Nevada,3,Directed
California, Stanford,3,Directed
California,Stanford,3,Directed
Central Michigan,Boston College,3,Directed
Clemson,Virginia,3,Directed
Colorado, Texas,3,Directed
Colorado,Baylor,3,Directed
Colorado,Iowa State,3,Directed
Colorado,Kansas,3,Directed
Colorado,Nebraska,3,Directed
Colorado,Oregon State,3,Directed
Colorado State,Nevada,3,Directed
Colorado State,New Mexico,3,Directed
Colorado State,San Diego State,3,Directed
Connecticut,Boston College,3,Directed
Connecticut,Syracuse,3,Directed
Connecticut,West Virginia,3,Directed
Delaware State,Kent State,3,Directed
East Carolina,Marshall,3,Directed
East Carolina,Southern Miss,3,Directed
East Carolina,UCF,3,Directed
Eastern Michigan,Kent State,3,Directed
FIU,Indiana,3,Directed
FIU,Louisiana Tech,3,Directed
Florida Atlantic,Arkansas State,3,Directed
Florida Atlantic,Marshall,3,Directed
Florida International,Middle Tennessee,3,Directed
Florida State, Miami (FL),3,Directed
Florida State,Boston College,3,Directed
Furman,Clemson,3,Directed
Georgia Tech,BYU,3,Directed
Georgia Tech,NC State,3,Directed
Hawaii, USC,3,Directed
Hawaii,Fresno State,3,Directed
Hawaii,New Mexico,3,Directed
Hawaii,Oregon State,3,Directed
Hawaii,San Jose State,3,Directed
Idaho,Arkansas State,3,Directed
Idaho,Louisiana Tech,3,Directed
Illinois, Penn State,3,Directed
